"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-10-30;"-6";"-16,29";"-26,65";"-33,6";"-44,83"
2020-11-03;"-6,18";"-16,61";"-26,05";"-33,11";"-44,25"
2020-11-04;"-6,18";"-16,61";"-26,05";"-33,11";"-44,25"
2020-11-05;"-6,18";"-16,61";"-26,05";"-33,11";"-44,25"
2020-11-06;"-6,05";"-16,61";"-26,05";"-33,11";"-44,25"
2020-11-09;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-10;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-11;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-12;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-13;"-6,01";"-15,65";"-26,65";"-33,6";"-44,83"
