"Data";"Desvio Padrão 2020 Q2";"Desvio Padrão 2020 Q3";"Desvio Padrão 2020 Q4";"Desvio Padrão 2021 Q1";"Desvio Padrão 2021 Q2";"Desvio Padrão 2021 Q3";"Desvio Padrão 2021 Q4";"Media 2020 Q2";"Media 2020 Q3";"Media 2020 Q4";"Media 2021 Q1";"Media 2021 Q2";"Media 2021 Q3";"Media 2021 Q4"
2020-07-16;NA;NA;"2,45";NA;NA;"1,77";NA;NA;NA;"-4,33";NA;NA;"4,1";NA
2020-07-17;"3,71";"2,38";"2,44";"2,69";"3,82";"1,72";NA;"-12,54";"-7,13";"-4,32";"-1,38";"8,01";"4,08";NA
2020-07-20;"3,74";"2,38";"2,5";"2,67";"3,79";"1,73";NA;"-12,56";"-7,14";"-4,33";"-1,34";"7,82";"4,11";NA
2020-07-21;"3,76";"2,4";"2,5";"2,68";"3,76";"1,71";NA;"-12,52";"-7,12";"-4,33";"-1,34";"7,75";"4,06";NA
2020-07-22;"3,76";"2,4";"2,5";"2,68";"3,76";"1,71";NA;"-12,52";"-7,12";"-4,33";"-1,34";"7,75";"4,06";NA
2020-07-23;"3,71";"2,36";"2,48";"2,67";"3,7";"1,71";NA;"-12,48";"-7,13";"-4,37";"-1,44";"7,82";"4,11";NA
2020-07-24;"3,14";"2,36";"2,08";"2,74";"3,44";"1,76";NA;"-12,15";"-7,01";"-4,5";"-1,15";"7,64";"4,17";NA
2020-07-27;"3,19";"2,39";"2,1";"2,73";"3,45";"1,74";NA;"-12,15";"-7";"-4,47";"-1,05";"7,53";"4,12";NA
2020-07-28;"3,17";"2,41";"2,1";"2,73";"3,45";"1,74";NA;"-12,08";"-7,08";"-4,47";"-1,05";"7,52";"4,12";NA
2020-07-29;"3,2";"2,41";"2,11";"2,74";"3,44";"1,74";NA;"-12,02";"-7,07";"-4,47";"-1,06";"7,5";"4,13";NA
2020-07-30;"3,2";"2,41";"2,11";"2,74";"3,44";"1,74";NA;"-12,02";"-7,07";"-4,47";"-1,06";"7,5";"4,13";NA
2020-07-31;"3,14";"2,3";"2,16";"2,75";"3,41";"1,77";NA;"-11,79";"-6,97";"-4,46";"-1,17";"7,52";"4,29";NA
2020-08-03;"3,16";"2,31";"2,16";"2,75";"3,38";"1,74";NA;"-11,81";"-7";"-4,49";"-1,22";"7,43";"4,35";NA
2020-08-04;"3,16";"2,31";"2,16";"2,75";"3,38";"1,74";NA;"-11,81";"-7";"-4,49";"-1,22";"7,43";"4,35";NA
2020-08-05;"3,17";"2,31";"2,15";"2,75";"3,38";"1,74";NA;"-11,8";"-6,98";"-4,48";"-1,22";"7,43";"4,35";NA
2020-08-06;"3,22";"2,32";"2,19";"2,75";"3,41";"1,74";NA;"-11,82";"-6,91";"-4,45";"-1,18";"7,33";"4,32";NA
2020-08-07;"3,13";"2,27";"2,18";"2,87";"3,35";"1,77";NA;"-11,75";"-6,83";"-4,43";"-1,14";"7,38";"4,25";NA
2020-08-10;"3,15";"2,29";"2,19";"2,73";"3,14";"1,75";NA;"-11,76";"-6,85";"-4,42";"-1,2";"7,69";"4,24";NA
2020-08-11;"3,07";"2,27";"2,17";"2,71";"3,43";"1,73";NA;"-11,71";"-6,78";"-4,43";"-1,25";"7,56";"4,21";NA
2020-08-12;"3,07";"2,27";"2,17";"2,71";"3,43";"1,73";NA;"-11,71";"-6,78";"-4,43";"-1,25";"7,56";"4,21";NA
2020-08-13;"2,92";"2,27";"2,17";"2,73";"3,32";"1,66";NA;"-11,58";"-6,8";"-4,46";"-1,28";"7,7";"4,29";NA
2020-08-14;"3,04";"2,26";"2,19";"2,71";"3,42";"1,73";NA;"-11,6";"-6,63";"-4,31";"-1,25";"7,53";"4,18";NA
2020-08-17;"3,12";"2,31";"2,23";"2,72";"3,33";"1,75";NA;"-11,57";"-6,6";"-4,28";"-1,22";"7,37";"4,18";NA
2020-08-18;"3,1";"2,31";"2,2";"2,69";"3,28";"1,74";NA;"-11,51";"-6,56";"-4,27";"-1,24";"7,36";"4,13";NA
2020-08-19;"3,1";"2,31";"2,2";"2,69";"3,28";"1,74";NA;"-11,51";"-6,56";"-4,27";"-1,24";"7,36";"4,13";NA
2020-08-20;"3,12";"2,31";"2,22";"2,71";"3,29";"1,74";NA;"-11,49";"-6,52";"-4,25";"-1,21";"7,31";"4,09";NA
2020-08-21;"3,11";"2,31";"2,22";"2,71";"3,27";"1,71";NA;"-11,46";"-6,45";"-4,21";"-1,18";"7,35";"4,07";NA
2020-08-24;"3,19";"2,39";"2,28";"2,5";"3,28";"1,71";NA;"-11,46";"-6,33";"-4,18";"-1,39";"7,46";"4,07";NA
2020-08-25;"3,18";"2,39";"2,27";"2,5";"3,27";"1,71";NA;"-11,44";"-6,33";"-4,2";"-1,39";"7,45";"4,07";NA
2020-08-26;"3,18";"2,36";"2,24";"2,47";"3,26";"1,83";NA;"-11,37";"-6,22";"-4,16";"-1,32";"7,43";"3,98";NA
2020-08-27;"2,63";"2,27";"2,18";"2,46";"3,26";"1,82";NA;"-11,13";"-6,2";"-4,15";"-1,35";"7,49";"4,01";NA
2020-08-28;"2,58";"2,26";"2,12";"2,72";"3,27";"1,65";NA;"-11,04";"-6,18";"-4,17";"-1,07";"7,26";"3,92";NA
2020-08-31;"2,56";"2,27";"2,12";"2,72";"3,03";"1,65";NA;"-11,07";"-6,1";"-4,07";"-1,09";"7,52";"3,92";NA
2020-09-01;NA;"2,35";"2,15";"2,74";"3";"1,65";"0";NA;"-6,02";"-4,01";"-1,02";"7,53";"3,92";"2,5"
2020-09-02;NA;"2,37";"2,15";"2,74";"3,02";"1,67";"1,25";NA;"-5,97";"-4";"-0,97";"7,58";"3,87";"1,25"
2020-09-03;NA;"2,41";"2,16";"2,73";"3,04";"1,66";"1,08";NA;"-5,84";"-3,93";"-0,96";"7,62";"3,86";"1,5"
2020-09-04;NA;"2,42";"2,15";"2,67";"3,29";"1,62";"1,25";NA;"-5,72";"-3,87";"-0,85";"7,61";"3,82";"2,7"
2020-09-08;NA;"2,46";"2,12";"2,66";"3,02";"1,63";"1,22";NA;"-5,7";"-3,74";"-0,73";"7,84";"3,78";"2,56"
2020-09-09;NA;"2,43";"2,09";"2,68";"3,04";"1,63";"1,23";NA;"-5,67";"-3,72";"-0,77";"7,95";"3,84";"2,67"
2020-09-10;NA;"2";"1,94";"2,48";"2,92";"1,65";"1,36";NA;"-5,73";"-3,69";"-0,58";"8";"3,83";"2,75"
2020-09-11;NA;"2";"1,88";"2,43";"2,77";"1,51";"1,28";NA;"-5,5";"-3,64";"-0,46";"8,19";"3,85";"2,69"
2020-09-14;NA;"1,97";"1,84";"2,41";"2,79";"1,44";"1,28";NA;"-5,41";"-3,59";"-0,4";"8,16";"3,78";"2,69"
2020-09-15;NA;"1,95";"1,81";"2,41";"2,82";"1,43";"1,26";NA;"-5,4";"-3,57";"-0,39";"8,13";"3,76";"2,7"
2020-09-16;NA;"1,95";"1,81";"2,41";"2,82";"1,43";"1,26";NA;"-5,4";"-3,57";"-0,39";"8,13";"3,76";"2,7"
2020-09-17;NA;"1,94";"1,8";"2,39";"2,81";"1,42";"1,25";NA;"-5,39";"-3,57";"-0,4";"8,18";"3,75";"2,68"
2020-09-18;NA;"1,93";"1,76";"2,4";"2,82";"1,42";"1,22";NA;"-5,36";"-3,55";"-0,34";"8,12";"3,78";"2,71"
2020-09-21;NA;"1,94";"1,76";"2,39";"2,83";"1,43";"1,22";NA;"-5,34";"-3,53";"-0,34";"8,15";"3,76";"2,67"
2020-09-22;NA;"1,94";"1,76";"2,39";"2,83";"1,43";"1,22";NA;"-5,34";"-3,53";"-0,34";"8,15";"3,76";"2,67"
2020-09-23;NA;"1,93";"1,74";"2,38";"2,85";"1,44";"1,22";NA;"-5,37";"-3,53";"-0,36";"8,22";"3,8";"2,65"
2020-09-24;NA;"1,93";"1,74";"2,38";"2,85";"1,44";"1,22";NA;"-5,37";"-3,53";"-0,36";"8,22";"3,8";"2,65"
2020-09-25;NA;"1,89";"1,73";"2,35";"2,83";"1,43";"1,23";NA;"-5,33";"-3,5";"-0,35";"8,25";"3,78";"2,6"
2020-09-28;NA;"1,86";"1,73";"2,11";"2,69";"1,43";"1,22";NA;"-5,23";"-3,42";"-0,51";"8,47";"3,85";"2,59"
2020-09-29;NA;"1,86";"1,74";"2,11";"2,69";"1,43";"1,22";NA;"-5,23";"-3,43";"-0,51";"8,47";"3,85";"2,59"
2020-09-30;NA;"1,86";"1,74";"2,11";"2,69";"1,43";"1,22";NA;"-5,23";"-3,43";"-0,51";"8,47";"3,85";"2,59"
2020-10-01;NA;"1,87";"1,77";"2,1";"2,71";"1,41";"1,22";NA;"-5,21";"-3,43";"-0,46";"8,44";"3,81";"2,59"
2020-10-02;NA;"1,78";"1,69";"2,11";"2,71";"1,52";"1,27";NA;"-5,27";"-3,44";"-0,43";"8,47";"3,71";"2,43"
2020-10-05;NA;"1,36";"1,25";"2,07";"2,37";"1,53";"1,26";NA;"-5,19";"-3,39";"-0,38";"8,72";"3,63";"2,42"
2020-10-06;NA;"1,36";"1,25";"2,07";"2,37";"1,53";"1,26";NA;"-5,19";"-3,39";"-0,38";"8,72";"3,63";"2,42"
2020-10-07;NA;"1,36";"1,25";"2,07";"2,37";"1,52";"1,26";NA;"-5,2";"-3,38";"-0,38";"8,72";"3,62";"2,42"
2020-10-08;NA;"1,36";"1,25";"2,07";"2,37";"1,52";"1,26";NA;"-5,2";"-3,38";"-0,38";"8,72";"3,62";"2,42"
