"Data";"Acumulado"
2020-02-03;17,15
2020-03-02;17,06
2020-04-01;19,6
2020-05-04;19,62
2020-06-01;21,58
2020-07-01;21,76
2020-08-03;20,44
2020-09-01;19,99
2020-10-01;24,69
2020-11-03;26,31
2020-12-01;26,81
2021-01-04;26,28
2021-02-01;25,96
2021-03-01;24,76
2021-03-16;26,4
