"Data";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023"
2019-10-28;"-32,33";"-37,21";"-42,24";"-46,16";"-48,23"
2019-10-29;"-32,33";"-37,21";"-42,24";"-46,16";"-48,23"
2019-10-30;"-32,33";"-37,21";"-42,24";"-46,16";"-48,23"
2019-10-31;"-32,83";"-37,61";"-42,24";"-46,16";"-48,23"
2019-11-01;"-32,64";"-37,38";"-41,72";"-45,6";"-47,6"
2019-11-04;"-32,57";"-38,01";"-41,93";"-46,05";"-48,22"
2019-11-05;"-32,57";"-38,01";"-41,93";"-46,05";"-48,22"
2019-11-06;"-32,57";"-38,01";"-41,93";"-46,05";"-48,22"
2019-11-07;"-32,77";"-37,98";"-41,93";"-46,05";"-48,22"
2019-11-08;"-32,82";"-37,38";"-41,77";"-45,55";"-47,6"
